id,immOpt,delOpt,delay,task,p_imm
1,0.01,5.0,7.0,reward,0.3
2,4.99,5.0,365.0,reward,0.5
3,4.99,5.0,365.0,reward,0.7
4,0.01,5.0,7.0,reward,0.3
5,4.99,5.0,365.0,reward,0.5
6,4.99,5.0,365.0,reward,0.7
7,0.01,5.0,7.0,reward,0.3
8,4.99,5.0,365.0,reward,0.5
9,4.99,5.0,365.0,reward,0.7
10,0.01,5.0,7.0,reward,0.3
11,4.99,5.0,365.0,reward,0.5
12,4.99,5.0,365.0,reward,0.7
13,0.01,5.0,7.0,reward,0.3
14,4.99,5.0,365.0,reward,0.5
15,4.99,5.0,365.0,reward,0.7
16,0.01,10.0,7.0,reward,0.3
17,9.99,10.0,365.0,reward,0.5
18,9.99,10.0,365.0,reward,0.7
19,0.01,10.0,7.0,reward,0.3
20,9.99,10.0,365.0,reward,0.5
21,9.99,10.0,365.0,reward,0.7
22,0.01,10.0,7.0,reward,0.3
23,9.99,10.0,365.0,reward,0.5
24,9.99,10.0,365.0,reward,0.7
25,0.01,10.0,7.0,reward,0.3
26,9.99,10.0,365.0,reward,0.5
27,9.99,10.0,365.0,reward,0.7
28,0.01,10.0,7.0,reward,0.3
29,9.99,10.0,365.0,reward,0.5
30,9.99,10.0,365.0,reward,0.7
31,0.01,20.0,7.0,reward,0.3
32,19.99,20.0,365.0,reward,0.5
33,19.99,20.0,365.0,reward,0.7
34,0.01,20.0,7.0,reward,0.3
35,19.99,20.0,365.0,reward,0.5
36,19.99,20.0,365.0,reward,0.7
37,0.01,20.0,7.0,reward,0.3
38,19.99,20.0,365.0,reward,0.5
39,19.99,20.0,365.0,reward,0.7
40,0.01,20.0,7.0,reward,0.3
41,19.99,20.0,365.0,reward,0.5
42,19.99,20.0,365.0,reward,0.7
43,0.01,20.0,7.0,reward,0.3
44,19.99,20.0,365.0,reward,0.5
45,19.99,20.0,365.0,reward,0.7
46,0.01,50.0,7.0,reward,0.3
47,49.99,50.0,365.0,reward,0.5
48,49.99,50.0,365.0,reward,0.7
49,0.01,50.0,7.0,reward,0.3
50,49.99,50.0,365.0,reward,0.5
51,49.99,50.0,365.0,reward,0.7
52,0.01,50.0,7.0,reward,0.3
53,49.99,50.0,365.0,reward,0.5
54,49.99,50.0,365.0,reward,0.7
55,0.01,50.0,7.0,reward,0.3
56,49.99,50.0,365.0,reward,0.5
57,49.99,50.0,365.0,reward,0.7
58,0.01,50.0,7.0,reward,0.3
59,49.99,50.0,365.0,reward,0.5
60,49.99,50.0,365.0,reward,0.7
61,-4.99,-5.0,1095.0,loss,0.3
62,-4.829188565080364,-5.0,30.0,loss,0.5
63,-0.01,-5.0,30.0,loss,0.7
64,-4.99,-5.0,1095.0,loss,0.3
65,-4.520338371647036,-5.0,90.0,loss,0.5
66,-0.01,-5.0,30.0,loss,0.7
67,-4.99,-5.0,1095.0,loss,0.3
68,-4.124651007881416,-5.0,180.0,loss,0.5
69,-0.01,-5.0,30.0,loss,0.7
70,-4.99,-5.0,1095.0,loss,0.3
71,-3.4956658877194875,-5.0,365.0,loss,0.5
72,-0.01,-5.0,30.0,loss,0.7
73,-4.99,-5.0,1095.0,loss,0.3
74,-2.1824264594948266,-5.0,1095.0,loss,0.5
75,-0.01,-5.0,30.0,loss,0.7
76,-9.99,-10.0,1095.0,loss,0.3
77,-9.658377130160728,-10.0,30.0,loss,0.5
78,-0.01,-10.0,30.0,loss,0.7
79,-9.99,-10.0,1095.0,loss,0.3
80,-9.040676743294071,-10.0,90.0,loss,0.5
81,-0.01,-10.0,30.0,loss,0.7
82,-9.99,-10.0,1095.0,loss,0.3
83,-8.249302015762831,-10.0,180.0,loss,0.5
84,-0.01,-10.0,30.0,loss,0.7
85,-9.99,-10.0,1095.0,loss,0.3
86,-6.991331775438975,-10.0,365.0,loss,0.5
87,-0.01,-10.0,30.0,loss,0.7
88,-9.99,-10.0,1095.0,loss,0.3
89,-4.364852918989653,-10.0,1095.0,loss,0.5
90,-0.01,-10.0,30.0,loss,0.7
91,-19.99,-20.0,1095.0,loss,0.3
92,-19.316754260321456,-20.0,30.0,loss,0.5
93,-0.01,-20.0,30.0,loss,0.7
94,-19.99,-20.0,1095.0,loss,0.3
95,-18.081353486588142,-20.0,90.0,loss,0.5
96,-0.01,-20.0,30.0,loss,0.7
97,-19.99,-20.0,1095.0,loss,0.3
98,-16.498604031525662,-20.0,180.0,loss,0.5
99,-0.01,-20.0,30.0,loss,0.7
100,-19.99,-20.0,1095.0,loss,0.3
101,-13.98266355087795,-20.0,365.0,loss,0.5
102,-0.01,-20.0,30.0,loss,0.7
103,-19.99,-20.0,1095.0,loss,0.3
104,-8.729705837979306,-20.0,1095.0,loss,0.5
105,-0.01,-20.0,30.0,loss,0.7
106,-49.99,-50.0,1095.0,loss,0.3
107,-48.29188565080364,-50.0,30.0,loss,0.5
108,-13.711581431053709,-50.0,30.0,loss,0.7
109,-49.99,-50.0,1095.0,loss,0.3
110,-45.203383716470356,-50.0,90.0,loss,0.5
111,-10.623079496720422,-50.0,90.0,loss,0.7
112,-49.99,-50.0,1095.0,loss,0.3
113,-41.246510078814154,-50.0,180.0,loss,0.5
114,-6.66620585906422,-50.0,180.0,loss,0.7
115,-49.99,-50.0,1095.0,loss,0.3
116,-34.956658877194876,-50.0,365.0,loss,0.5
117,-0.3763546574449421,-50.0,365.0,loss,0.7
118,-49.99,-50.0,1095.0,loss,0.3
119,-21.824264594948264,-50.0,1095.0,loss,0.5
120,-0.01,-50.0,378.0,loss,0.7
